isqno,name,war,war4,att_str,def_str,att_cas,def_cas,att_cav,def_cav,att_arty,def_arty,att_tank,def_tank,att_ach,def_ach,att_pri1,def_pri1,duration1,wofa,wofd,terra1,wx1,surpa,morala,momnta,techa,inita,mobila,force_ratio,att_loss_pct,def_loss_pct,exchange_ratio,total_troops,casualty_intensity,attacker_underdog,ach_diff,log_att_str,log_def_str,log_att_cas,log_def_cas,log_total_troops,log_exchange_ratio,log_force_ratio,log_duration1
1,NIEUPORT,NETHERLAND'S WAR OF INDEPENDENCE,Eighty Years War of 1568-1648,11500.0,11300.0,4000.0,1000.0,1500.0,1400.0,8.0,6.0,0.0,0.0,3,8,FF,DO,1.0,0.9,0.9,R,D,0.0,0.0,1.0,0.0,1.0,0.0,1.0176991150442478,0.34782608695652173,0.08849557522123894,4.0,22800.0,0.21929824561403508,0,-5,9.350189267092581,9.332646496360152,8.294299608857235,6.90875477931522,10.034559673629849,1.6094379124341003,0.7019578102421002,0.6931471805599453
2,WHITE MOUNTAIN,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,40000.0,21000.0,400.0,5000.0,7500.0,11000.0,12.0,10.0,0.0,0.0,8,2,FF,DO,1.0,1.5,1.5,R,D,0.0,0.0,1.0,0.0,1.0,0.0,1.9047619047619047,0.01,0.23809523809523808,0.08,61000.0,0.08852459016393442,0,6,10.596659732783579,9.952325334619427,5.993961427306569,8.517393171418904,11.0186455364637,0.07696104113612832,1.0663514264498881,0.6931471805599453
3,WIMPFEN,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,20000.0,20000.0,5000.0,5800.0,4000.0,4000.0,8.0,40.0,0.0,0.0,7,3,FF,DD,1.4375,3.7,2.8,R,D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.29,0.8620689655172413,40000.0,0.27,0,4,9.90353755128617,9.90353755128617,8.517393171418904,8.665785595466064,10.596659732783579,0.6216882165778004,0.6931471805599453,0.8909729238898652
4,DESSAU BRIDGE,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,8500.0,16000.0,3000.0,1000.0,2500.0,10000.0,9.0,59.0,0.0,0.0,3,9,FF,DO,2.0,6.0,6.4,R,D,0.0,0.0,0.0,0.0,1.0,0.0,0.53125,0.35294117647058826,0.0625,3.0,24500.0,0.16326530612244897,1,-6,9.04793908261736,9.680406499268875,8.006700845440367,6.90875477931522,10.106469212026385,1.3862943611198906,0.4260843953109001,1.0986122886681098
5,LUTTER,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,17000.0,20000.0,2000.0,7000.0,7000.0,10000.0,12.0,22.0,0.0,0.0,7,3,FF,DO,2.0,6.0,6.4,R,D,0.0,1.0,1.0,0.0,0.0,0.0,0.85,0.11764705882352941,0.35,0.2857142857142857,37000.0,0.24324324324324326,0,4,9.741027444837728,9.90353755128617,7.601402334583733,8.853808274977197,10.518700218288165,0.25131442828090605,0.6151856390902335,1.0986122886681098
6,BREITENFELD I,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,32000.0,37850.0,13600.0,6100.0,11000.0,12850.0,26.0,100.0,0.0,0.0,4,9,FF,DO,1.0,3.2,3.6,R,D,0.0,0.0,0.0,0.0,0.0,0.0,0.845442536327609,0.425,0.16116248348745046,2.2295081967213113,69850.0,0.28203292770221905,0,-5,10.373522431293592,10.54141267859585,9.517898598432753,8.716207971151853,11.1541196809749,1.1723298645646771,0.612719105819513,0.6931471805599453
7,THE LECH,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,33000.0,27000.0,1000.0,3000.0,0.0,0.0,70.0,59.0,0.0,0.0,9,3,FF,DO,2.0,8.0,21.0,R,D,0.0,0.0,0.0,0.0,1.0,0.0,1.2222222222222223,0.030303030303030304,0.1111111111111111,0.3333333333333333,60000.0,0.06666666666666667,0,6,10.404293143019792,10.203629181337648,6.90875477931522,8.006700845440367,11.002116507732017,0.2876820724517809,0.7985076962177716,1.0986122886681098
8,ALTE VESTE,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,46000.0,60000.0,4000.0,2000.0,16000.0,13000.0,101.0,59.0,0.0,0.0,4,8,FF,DO,2.0,2.3,2.7,G,W,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.08695652173913043,0.03333333333333333,2.0,106000.0,0.05660377358490566,1,-4,10.736418414365376,11.002116507732017,8.294299608857235,7.601402334583733,11.571203807011969,1.0986122886681098,0.5690945318899665,1.0986122886681098
9,LUETZEN,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,18996.0,21770.0,4000.0,5000.0,6210.0,9200.0,60.0,25.0,0.0,0.0,9,5,FF,DO,1.0,4.4,4.8,R,D,0.0,0.0,0.0,0.0,1.0,0.0,0.8725769407441433,0.2105706464518846,0.2296738631143776,0.8,40766.0,0.22077221213756562,0,4,9.852036350945049,9.988334087946246,8.294299608857235,8.517393171418904,10.615628209588607,0.5877866649021191,0.6273155254150825,0.6931471805599453
10,NORDLINGEN I,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,25000.0,35000.0,12000.0,2000.0,10000.0,15000.0,80.0,50.0,0.0,0.0,3,9,EE,DO,1.0,2.8,5.6,R,D,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.48,0.05714285714285714,6.0,60000.0,0.23333333333333334,1,-6,10.12667110305036,10.463131911491967,9.392745258631441,7.601402334583733,11.002116507732017,1.9459101490553132,0.538996500732687,0.6931471805599453
