team,qual_pos,qual_time_sec,qual_time_norm,itt_best_rider_rank_imputed,itt_best_rank_norm,itt_rank_is_estimated,mno_reached_final,mno_reached_semis,team_pursuit_pos_filled,team_pursuit_time_sec,spring_series_winner,spring_series_score,hist_races,hist_wins,hist_win_rate,hist_top3_rate,hist_top5_rate,hist_avg_finish_all,hist_avg_finish_5yr,hist_avg_finish_3yr,hist_best_finish,hist_last_finish,hist_years_since_last_race,hist_years_since_last_win,hist_consecutive_top5,hist_trend_3yr,hist_is_first_year,defending_champ,team_type_enc,actual_finish_2026
Kappa Alpha Theta,1,163.883,1.0,7.0,0.931818181818182,0,0,1,3,621.26,0,3.6,37,10,0.27,1.0,1.0,1.76,1.6,1.33,1.0,1.0,1.0,1.0,37,0.5,0,1,0,
Teter,2,167.546,0.8644538188277093,1.0,1.0,0,1,1,1,692.72,1,1.2,12,4,0.333,0.917,1.0,2.17,2.6,3.0,1.0,4.0,1.0,7.0,12,-0.5,0,0,1,
Alpha Chi Omega,3,167.911,0.8509473060982833,2.0,0.9886363636363636,0,1,0,2,692.72,0,2.05,2,0,0.0,1.0,1.0,2.5,2.5,2.5,2.0,2.0,1.0,99.0,2,1.0,0,0,0,
Delta Gamma,4,168.347,0.8348134991119006,4.0,0.9659090909090908,0,0,0,5,632.72,0,4.4,14,4,0.286,0.786,1.0,2.79,3.6,4.67,1.0,5.0,1.0,5.0,14,-0.5,0,0,0,
Melanzana Cycling,5,170.107,0.7696862048549442,3.0,0.9772727272727272,0,1,0,34,692.72,0,11.0,7,2,0.286,0.714,0.857,2.86,3.0,3.67,1.0,6.0,1.0,3.0,0,-2.5,0,0,3,
CSF (W),6,170.141,0.7684280639431623,8.0,0.9204545454545454,1,0,0,34,692.72,0,13.35,1,0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,1.0,99.0,0,0.0,0,0,2,
Kappa Kappa Gamma,7,170.512,0.7546995263469511,11.0,0.8863636363636364,1,0,0,34,692.72,0,14.45,8,5,0.625,1.0,1.0,1.62,2.0,2.33,1.0,3.0,18.0,20.0,8,-0.0,0,0,0,
RideOn,8,170.53,0.754033451746596,14.0,0.8522727272727273,1,0,0,34,692.72,0,15.55,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,3,
Kappa Delta,9,171.486,0.7186574896388402,17.0,0.8181818181818181,1,0,0,34,692.72,0,16.65,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,1,0.0,0,1,0,
Novus (W),10,172.094,0.6961589698046187,20.0,0.7840909090909091,1,0,0,4,627.47,0,10.25,1,0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,99.0,1,0.0,0,0,3,
SALT Cycling,11,172.164,0.6935686796921263,23.0,0.75,1,0,0,34,692.72,0,18.85,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,3,
Alpha Delta Pi,12,172.196,0.6923845470692722,26.0,0.7159090909090908,1,0,0,34,692.72,0,19.95,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Sigma Kappa,13,172.851,0.6681468324452342,29.0,0.6818181818181819,1,0,0,34,692.72,0,21.05,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
SKI,14,174.092,0.6222246891651864,32.0,0.6477272727272727,1,0,0,34,692.72,0,22.15,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,3,
Phi Mu,15,175.715,0.5621669626998227,35.0,0.6136363636363636,1,0,0,34,692.72,0,23.25,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Chi Alpha (W),16,177.047,0.5128774422735352,38.0,0.5795454545454546,1,0,0,34,692.72,0,24.35,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,2,
Pi Beta Phi,17,177.404,0.4996669626998229,41.0,0.5454545454545454,1,0,0,34,692.72,0,25.45,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0,1,0.0,0,1,0,
Zeta Tau Alpha,18,178.78,0.448749259917111,44.0,0.5113636363636364,1,0,0,34,692.72,0,26.55,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Delta Zeta,19,179.215,0.4326524570751927,47.0,0.4772727272727273,1,0,1,34,692.72,0,27.65,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
CHAARG Cycling,20,179.7,0.4147054470100659,50.0,0.4431818181818182,1,0,0,34,692.72,0,28.75,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,2,
Godspeed (W),21,180.962,0.3680062166962707,53.0,0.409090909090909,1,0,0,34,692.72,0,29.85,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,3,
Chi Omega,22,182.433,0.3135731201894619,56.0,0.375,1,0,0,34,692.72,0,30.95,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Alpha Omicron Pi,23,185.239,0.2097394908229723,59.0,0.3409090909090909,1,0,0,34,692.72,0,32.05,1,0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,99.0,1,0.0,0,0,0,
Delta Phi Epsilon,24,185.277,0.2083333333333342,62.0,0.3068181818181817,1,0,0,34,692.72,0,33.15,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Alpha Gamma Delta,25,185.644,0.1947528123149794,65.0,0.2727272727272727,1,0,0,34,692.72,0,34.25,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Gamma Phi Beta,26,185.86,0.1867599171107162,68.0,0.2386363636363636,1,0,0,34,692.72,0,35.35,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Alpha Epsilon Phi,27,187.675,0.1195973949082297,71.0,0.2045454545454545,1,0,0,34,692.72,0,36.45,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Collins (W),28,188.414,0.0922513321492015,74.0,0.1704545454545454,1,0,0,34,692.72,0,37.55,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,1,
Alpha Fasta Bika,29,189.178,0.0639801657785676,77.0,0.1363636363636363,1,0,0,34,692.72,0,38.65,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,3,
Theta Phi Alpha,30,189.658,0.0462181764357616,80.0,0.1022727272727272,1,0,0,34,692.72,0,39.75,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Bison Cycling,31,190.106,0.0296403197158087,83.0,0.0681818181818182,1,0,0,34,692.72,0,40.85,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,3,
Alpha Phi,32,190.776,0.0048475429248076,86.0,0.034090909090909,1,0,0,34,692.72,0,41.95,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
Sigma Delta Tau,33,190.907,0.0,89.0,0.0,1,0,0,34,692.72,0,43.05,0,0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,99.0,99.0,0,0.0,1,0,0,
